,Area,Area_code,Area_name,Year,Sex,Age,MYE
38254,Super Data Zones,N21000001,Dunsilly_A,2024,All Persons,All ages,3302
38269,Super Data Zones,N21000002,Dunsilly_B,2024,All Persons,All ages,3129
38284,Super Data Zones,N21000003,Dunsilly_C,2024,All Persons,All ages,2627
38299,Super Data Zones,N21000004,Dunsilly_D,2024,All Persons,All ages,3089
38314,Super Data Zones,N21000005,Dunsilly_E,2024,All Persons,All ages,2145
38329,Super Data Zones,N21000006,Dunsilly_F,2024,All Persons,All ages,4003
38344,Super Data Zones,N21000007,Antrim_A,2024,All Persons,All ages,1755
38359,Super Data Zones,N21000008,Antrim_B,2024,All Persons,All ages,2145
38374,Super Data Zones,N21000009,Antrim_C,2024,All Persons,All ages,2834
38389,Super Data Zones,N21000010,Antrim_D,2024,All Persons,All ages,2433
38404,Super Data Zones,N21000011,Antrim_E,2024,All Persons,All ages,1657
38419,Super Data Zones,N21000012,Antrim_F,2024,All Persons,All ages,2235
38434,Super Data Zones,N21000013,Antrim_G,2024,All Persons,All ages,2132
38449,Super Data Zones,N21000014,Antrim_H,2024,All Persons,All ages,1356
38464,Super Data Zones,N21000015,Antrim_J,2024,All Persons,All ages,2221
38479,Super Data Zones,N21000016,Antrim_K,2024,All Persons,All ages,2207
38494,Super Data Zones,N21000017,Antrim_L,2024,All Persons,All ages,2347
38509,Super Data Zones,N21000018,Antrim_N,2024,All Persons,All ages,1585
38524,Super Data Zones,N21000019,Ballyclare_A,2024,All Persons,All ages,2021
38539,Super Data Zones,N21000020,Ballyclare_B,2024,All Persons,All ages,3092
38554,Super Data Zones,N21000021,Ballyclare_C,2024,All Persons,All ages,2438
38569,Super Data Zones,N21000022,Ballyclare_D,2024,All Persons,All ages,2546
38584,Super Data Zones,N21000023,Ballyclare_E,2024,All Persons,All ages,3173
38599,Super Data Zones,N21000024,Ballyclare_F,2024,All Persons,All ages,3132
38614,Super Data Zones,N21000025,Ballyclare_G,2024,All Persons,All ages,1409
38629,Super Data Zones,N21000026,Ballyclare_H,2024,All Persons,All ages,1677
38644,Super Data Zones,N21000027,Three_Mile_Water_A,2024,All Persons,All ages,2358
38659,Super Data Zones,N21000028,Three_Mile_Water_B,2024,All Persons,All ages,1344
38674,Super Data Zones,N21000029,Three_Mile_Water_C,2024,All Persons,All ages,1978
38689,Super Data Zones,N21000030,Three_Mile_Water_D,2024,All Persons,All ages,1838
38704,Super Data Zones,N21000031,Three_Mile_Water_E,2024,All Persons,All ages,2479
38719,Super Data Zones,N21000032,Three_Mile_Water_F,2024,All Persons,All ages,1844
38734,Super Data Zones,N21000033,Three_Mile_Water_G,2024,All Persons,All ages,3059
38749,Super Data Zones,N21000034,Three_Mile_Water_H,2024,All Persons,All ages,2254
38764,Super Data Zones,N21000035,Three_Mile_Water_J,2024,All Persons,All ages,1475
38779,Super Data Zones,N21000036,Three_Mile_Water_K,2024,All Persons,All ages,2224
38794,Super Data Zones,N21000037,Macedon_A,2024,All Persons,All ages,1671
